"AppId","AppDisplayName","AppOwnerOrganizationId","Source"
"a164aee5-7d0a-46bb-9404-37421d58bdf7","Microsoft Teams AuthSvc","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"56a02f66-b2ce-4568-954b-907d5476c479","Production-DPS-1P-SQLIaaS","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2db8cb1d-fb6c-450b-ab09-49b6ae35186b","Microsoft Dynamics CRM Learning Path","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9cb77803-d937-493e-9a3b-4b49de3f5a74","Microsoft Intune Service Discovery","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"3138fe80-4087-4b04-80a6-8866c738028a","SharePoint Notification Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b","Microsoft Teams Graph Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9e5d84af-8971-422f-968a-354cd675ae5b","ComplianceAuthServer","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"e1829006-9cf1-4d05-8b48-2e665cb48e6a","Microsoft Teams Web Client","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"ca7f3f0b-7d91-482c-8e09-c5d840d0eac5","Log Analytics API","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"765fe668-04e7-42ba-aec0-2c96f1d8b652","Exchange Office Graph Client for AAD - Noninteractive","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"844cca35-0656-46ce-b636-13f48b0eecbd","Microsoft Stream Mobile Native","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7","Microsoft Flow CDS Integration Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f09d1391-098c-47d7-ac7e-6ed2afc5016b","MicrosoftAzureADFulfillment","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"bc59ab01-8403-45c6-8796-ac3ef710b3e3","Outlook Online Add-in App","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f36c30df-d241-4c14-a0ee-752c71e4d3da","IDS-PROD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"207a6836-d031-4764-a9d8-c1193f455f21","Conference Auto Attendant","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"1996141e-2b07-4491-927a-5a024b335c78","Microsoft Teams UIS","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"4787c7ff-7cea-43db-8d0d-919f15c6354b","Dynamics 365 Viva Sales","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"ce79fdc4-cd1d-4ea5-8139-e74d7dbe0bb7","Lifecycle Workflows","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"feff8b5b-97f3-4374-a16a-1911ae9e15e9","Cloud Hybrid Search","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"8c8fbf21-0ef3-4f60-81cf-0df811ff5d16","Power Query Online GCC-L5","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f18474f2-a66a-4bb0-a3c9-9b8d892092fa","MaintenanceResourceProvider","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"cb1bda4c-1213-4e8b-911a-0a8c83c5d3b7","o365.servicecommunications.microsoft.com","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"707be275-6b9d-4ee7-88f9-c0c2bd646e0f","Dynamic Alerts","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000004-0000-0ff1-ce00-000000000000","Skype for Business Online","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"dbcbd02a-d7c4-42fb-8c27-b07e5118b848","Azure Graph","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"7c99d979-3b9c-4342-97dd-3239678fb300","Data Classification Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d8c767ef-3e9a-48c4-aef9-562696539b39","Request Approvals Read Platform","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"a70c8393-7c0c-4c1e-916a-811bd476ee11","Microsoft Defender for Cloud CIEM","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000002-0000-0ff1-ce00-000000000000","Office 365 Exchange Online","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"4990cffe-04e8-4e8b-808a-1175604b879f","Microsoft Partner","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"22d7579f-06c2-4baa-89d2-e844486adb9d","Cortana at Work Bing Services","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"05d97c70-cb7c-4e66-8138-d5ca7c59d206","Azure Edge Zones storage backend","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"48ac35b8-9aa8-4d74-927d-1f4a14a0b239","Skype and Teams Tenant Admin API","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"1e3e4475-288f-4018-a376-df66fd7fac5f","NetworkTrafficAnalyticsService","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"224a7b82-46c9-4d6b-8db0-7360fb444681","Microsoft Modern Contact Master","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f2c304cf-8e7e-4c3f-8164-16299ad9d272","Azure Management Groups","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"7557eb47-c689-4224-abcf-aef9bd7573df","Skype for Business","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"56c1da01-2129-48f7-9355-af6d59d42766","Graph Connector Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"21a8a852-89f4-4947-a374-b26b2db3d365","IC3 Long Running Operations Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"603b8c59-ba28-40ff-83d1-408eee9a93e5","Verifiable Credentials Issuer Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f5c26e74-f226-4ae8-85f0-b4af0080ac9e","Application Insights API","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2ca80e7c-4ad1-444f-88f5-58f92b71b7b0","Euclid","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"499b84ac-1321-427f-aa17-267ca6975798","Azure DevOps","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"ef5d5c69-a5df-46bb-acaf-426f161a21a2","Managed Service Identity","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"e81c7467-0fc3-4866-b814-c973488361cd","AzureBackup_Fabric_Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
